subgroup,state,modern_method,se.modern_method,year,country,survey,dist.id,period.id,pred,pred_upper,pred_lower,model
Age 15-24:UrbanRural urban,Africa:Senegal:Dakar,,,1990,,,1,1990,0.0374501320943264,0.0689218770169701,0.0198814710080779,1
Age 15-24:UrbanRural urban,Africa:Senegal:Dakar,,,1991,,,1,1991,0.0374447033061727,0.0641763643620826,0.0214385149271202,1
Age 15-24:UrbanRural urban,Africa:Senegal:Dakar,,,1992,,,1,1992,0.0374355824227385,0.059132940624673,0.0233776429868132,1
Age 15-24:UrbanRural urban,Africa:Senegal:Dakar,0.0367647058823529,0.0073779673009012,1993,Senegal,DHS_1993,1,1993,0.0374096199441455,0.0534753916991452,0.025996350875709,1
Age 15-24:UrbanRural urban,Africa:Senegal:Dakar,,,1994,,,1,1994,0.0377483209087554,0.0578629499600975,0.0242960114694538,1
Age 15-24:UrbanRural urban,Africa:Senegal:Dakar,,,1995,,,1,1995,0.0380756569425383,0.0612283297854135,0.0232432453726709,1
Age 15-24:UrbanRural urban,Africa:Senegal:Dakar,,,1996,,,1,1996,0.0384023816068722,0.0638659412249868,0.0225812171803401,1
Age 15-24:UrbanRural urban,Africa:Senegal:Dakar,,,1997,,,1,1997,0.0387294575095846,0.065852949726257,0.0222037208580355,1
Age 15-24:UrbanRural urban,Africa:Senegal:Dakar,,,1998,,,1,1998,0.0390572269512201,0.067264653368549,0.0220582236644716,1
Age 15-24:UrbanRural urban,Africa:Senegal:Dakar,,,1999,,,1,1999,0.0393857554568716,0.0681211358576473,0.0221091420317761,1
Age 15-24:UrbanRural urban,Africa:Senegal:Dakar,,,2000,,,1,2000,0.0397149106415345,0.0684266326127054,0.0223597232698042,1
Age 15-24:UrbanRural urban,Africa:Senegal:Dakar,,,2001,,,1,2001,0.0400443561600584,0.0681644063785891,0.0228207093645574,1
Age 15-24:UrbanRural urban,Africa:Senegal:Dakar,,,2002,,,1,2002,0.0403733481607053,0.0672734554423245,0.0235264214573164,1
Age 15-24:UrbanRural urban,Africa:Senegal:Dakar,,,2003,,,1,2003,0.0407003982294264,0.0656955245446269,0.0245277994906615,1
Age 15-24:UrbanRural urban,Africa:Senegal:Dakar,,,2004,,,1,2004,0.0410217603077553,0.0633157144232974,0.0259560834351308,1
Age 15-24:UrbanRural urban,Africa:Senegal:Dakar,0.0378262907468949,0.0097307804791643,2005,Senegal,DHS_2005,1,2005,0.0412769152200624,0.0598207375464991,0.0280385645016628,1
Age 15-24:UrbanRural urban,Africa:Senegal:Dakar,,,2006,,,1,2006,0.0428859114198847,0.0643965299370951,0.0279320691246023,1
Age 15-24:UrbanRural urban,Africa:Senegal:Dakar,,,2007,,,1,2007,0.0444801333714402,0.0676195000321478,0.0285520860913242,1
Age 15-24:UrbanRural urban,Africa:Senegal:Dakar,,,2008,,,1,2008,0.0461186448156206,0.0695065404395788,0.0298793862809426,1
Age 15-24:UrbanRural urban,Africa:Senegal:Dakar,,,2009,,,1,2009,0.0478030542641493,0.0698362978123627,0.032059022124111,1
